Protocol,Regime,Model,MAE,RMSE,MAPE,sMAPE,MASE_48,N
A,Low Demand,Naive,20.526430421445017,26.659410043698493,2.354052185658279,2.3411749361359893,0.1753526923188116,9121
A,Low Demand,Daily_Seasonal_Naive,92.53649074048896,141.86351889481526,10.960926869627878,9.864215162968346,0.7905184903521677,9121
A,Low Demand,Weekly_Seasonal_Naive,88.00376178050652,167.83819255069596,10.493777004033866,9.105703570961005,0.7517964032495814,9121
A,Low Demand,Moving_Average,207.1450247720553,236.0846780979315,24.11459047260913,20.934239473410297,1.7695934971858462,9121
A,Low Demand,DHR_ARIMA,11.509524160396037,16.20449839644896,1.365175354033295,1.3495783145586728,0.0983232840487116,9121
A,Low Demand,LSTM,29.667306664179875,39.14674590603621,3.430020860391139,3.457856133145377,0.2534411483438792,9121
A,Low Demand,Chronos_Bolt_Tiny,20.18404177941015,25.83161005202921,2.374641461354883,2.41224171704644,0.1724277429258831,9121
A,Low Demand,TimesFM,9.489843848481526,12.716078060360337,1.1080232601283728,1.1088941767315346,0.0810696080297434,9121
A,High Demand,Naive,54.12123218565401,66.51268169419933,2.864932284984881,2.885785757310881,0.4623455506151203,3081
A,High Demand,Daily_Seasonal_Naive,244.6752894975657,326.64204815958186,12.458357352644589,13.687271068515678,2.090206133086749,3081
A,High Demand,Weekly_Seasonal_Naive,479.3665043265173,635.2862478390479,23.364026839933526,28.686420874126128,4.095120555071872,3081
A,High Demand,Moving_Average,409.500570806962,445.1690567215024,20.88151973226149,23.653365937233048,3.498271551495405,3081
A,High Demand,DHR_ARIMA,31.251645677539205,42.68701774953248,1.6300576239457802,1.644457241579057,0.2669758012686293,3081
A,High Demand,LSTM,56.64069300390432,79.11287752900009,3.016681150566741,2.972381592036385,0.4838687394307646,3081
A,High Demand,Chronos_Bolt_Tiny,55.52835583511847,71.01693777331451,2.8531638848128864,2.8008167664195773,0.4743662924242406,3081
A,High Demand,TimesFM,19.328676132424537,28.40944586230597,1.0060250945883944,1.010272731971538,0.1651205460077454,3081
A,High Volatility,Naive,57.288047634922194,72.83300522033355,4.108347867952139,4.126326621126432,0.4893989448831184,10217
A,High Volatility,Daily_Seasonal_Naive,122.1017938003328,198.937951646102,8.332047713798064,8.454820109531003,1.0430882447771186,10217
A,High Volatility,Weekly_Seasonal_Naive,167.41221042752275,301.1709780232593,10.31107031124164,11.466631082360076,1.4301649737812976,10217
A,High Volatility,Moving_Average,246.3739410780195,302.9949220619081,18.58815348002107,17.50261268438589,2.104717332639156,10217
A,High Volatility,DHR_ARIMA,31.32148811332068,55.12453583016048,2.143593605197581,2.1681580919671486,0.2675724495362983,10217
A,High Volatility,LSTM,60.01391009386225,85.41586449134375,4.2102696312894965,4.194080946433775,0.5126853766324272,10217
A,High Volatility,Chronos_Bolt_Tiny,36.85089720387589,49.44075111880961,2.5742796491073974,2.5775934373066143,0.3148089515024649,10217
A,High Volatility,TimesFM,17.653652461583633,27.68427458760446,1.2318967854622458,1.237705284214906,0.1508111943889258,10217
A,Peak Demand Event,Naive,42.2848782745098,51.219900527818446,1.7501573151762322,1.7488938811393246,0.3612302332928735,459
A,Peak Demand Event,Daily_Seasonal_Naive,352.85672357734205,435.7766646204112,14.524641887972525,16.35661743003488,3.014375866221644,459
A,Peak Demand Event,Weekly_Seasonal_Naive,1068.516152775599,1142.3208264392745,43.48439677725268,57.95844379824047,9.12809389301258,459
A,Peak Demand Event,Moving_Average,597.5608260218772,625.7755065196498,24.4546585850772,28.26699275239351,5.104828141853443,459
A,Peak Demand Event,DHR_ARIMA,34.27932821120871,41.09967959275308,1.401661957817428,1.4129685020620584,0.2928406142373234,459
A,Peak Demand Event,LSTM,44.78684536871346,52.39096067422294,1.8151339029374367,1.8354919519325132,0.3826039771467159,459
A,Peak Demand Event,Chronos_Bolt_Tiny,68.40729319389979,87.26117298738619,2.8154753732046265,2.7546654810395683,0.5843881663545568,459
A,Peak Demand Event,TimesFM,21.537586806100204,28.253079932838485,0.8812411898041831,0.8801978698303939,0.1839907745749159,459
A,Low Demand,ARIMA,10.423758852301924,14.097050851337373,1.207596701438462,1.2137149253362645,0.08904783448970045,9121
A,Low Demand,SARIMA,12.655394478629029,18.832972776114055,1.4808097544573489,1.4750454185013824,0.10811219723161196,9121
A,Low Demand,Prophet,167.7048008026901,213.76514704921925,19.876545137106454,18.452937704597463,1.432664507746958,9121
