Comparison,DM Statistic,p-value,Significant?,Winner,Practical Importance,Mean Loss Differential,MAE Difference,RMSE Difference,Difference Relative to Average Bitcoin Price
Naive vs Persistence-Enhanced LSTM,-2.1964323590104398,0.028276974546556814,True,Naive,Small,-102579.26339798879,-31.012068363559592,-27.466416294234023,-0.03653852909128619
Naive vs Chronos-Bolt-Tiny,-5.482417575603195,5.243237616151306e-08,True,Naive,Small,-540142.8089755084,-133.67258534106963,-140.38315272803993,-0.186751480605672
Naive vs TimesFM,-4.2780778712111935,2.0554640498014798e-05,True,Naive,Small,-266618.2866569628,-59.59354338477851,-70.57456325429393,-0.09388522714239848
Naive vs ARIMA Rolling One-Step,-1.0189856626780387,0.3084422836813742,False,Naive,Small,-47161.56021418817,-9.521395369432867,-12.678085401191993,-0.016865636466396643
Naive vs Prophet 30-Day Periodic Refit,-20.70970175997248,2.838514640455085e-80,True,Naive,Moderate/Large,-112797548.09326361,-6904.909619772594,-8927.538099359874,-11.87628946793124
Naive vs Simple Exponential Smoothing Rolling One-Step,-0.43060524243897447,0.6668429679074053,False,Naive,Small,-7814.318038493772,-0.005441631129542657,-2.1066507558637113,-0.002802474087034982
Naive vs Holt-Winters Rolling One-Step,-1.8288027957423434,0.06771001292533091,False,Naive,Small,-67344.26883019399,-18.188071487169964,-18.07741161303602,-0.02404835137726845
Persistence-Enhanced LSTM vs Chronos-Bolt-Tiny,-3.6219248824465904,0.0003062646452838616,True,Persistence-Enhanced LSTM,Small,-437563.54557751975,-102.66051697751004,-112.91673643380591,-0.15021295151438585
Persistence-Enhanced LSTM vs TimesFM,-1.9098558264946646,0.056421464541979376,False,Persistence-Enhanced LSTM,Small,-164039.02325897402,-28.58147502121892,-43.10814696005991,-0.057346698051112296
Persistence-Enhanced LSTM vs ARIMA Rolling One-Step,0.7485115221903657,0.4543177242058169,False,ARIMA Rolling One-Step,Small,55417.70318380063,21.490672994126726,14.78833089304203,0.01967289262488954
Persistence-Enhanced LSTM vs Prophet 30-Day Periodic Refit,-20.675219609848842,4.724146066099562e-80,True,Persistence-Enhanced LSTM,Moderate/Large,-112694968.82986562,-6873.897551409034,-8900.07168306564,-11.839750938839956
Persistence-Enhanced LSTM vs Simple Exponential Smoothing Rolling One-Step,1.8296512122611421,0.06758286285262467,False,Simple Exponential Smoothing Rolling One-Step,Small,94764.945359495,31.00662673243005,25.35976553837031,0.033736055004251204
Persistence-Enhanced LSTM vs Holt-Winters Rolling One-Step,0.6218314502906199,0.5341864201729342,False,Holt-Winters Rolling One-Step,Small,35234.994567794805,12.823996876389629,9.389004681198003,0.012490177714017737
Chronos-Bolt-Tiny vs TimesFM,2.760989095724333,0.005862134642903215,True,TimesFM,Small,273524.52231854567,74.07904195629112,69.808589473746,0.09286625346327354
Chronos-Bolt-Tiny vs ARIMA Rolling One-Step,5.11501491401329,3.721643674001597e-07,True,ARIMA Rolling One-Step,Small,492981.2487613203,124.15118997163677,127.70506732684794,0.16988584413927538
Chronos-Bolt-Tiny vs Prophet 30-Day Periodic Refit,-20.63441724100539,8.627889831471298e-80,True,Chronos-Bolt-Tiny,Moderate/Large,-112257405.2842881,-6771.237034431524,-8787.154946631834,-11.689537987325568
